year,Argentina,China,France,Iceland,Italy,Japan,"Korea, Rep.",Netherlands,Norway,Russia,Spain,Taiwan,United Kingdom,United States
2012,312374,400903,148596,407243,29371,273692,645619,91539,420702,1344865,226284,115043,99142,133673
2013,369627,2143734,440922,490695,223249,323178,658536,209600,562661,1660256,466350,298683,277903,142548
2014,371427,2964306,454602,470031,361656,394394,683852,267838,634802,1479029,544325,486068,313964,180381
2015,348268,3391262,486907,482459,434969,540436,718566,254663,706911,1636401,556248,795755,357276,216347
2016,357917,4319167,534000,453383,465688,702783,721742,289501,703262,1987311,545913,1182881,379602,359971
2017,359441,4715271,551084,427958,494875,745771,833139,316897,688726,2581424,569101,1538333,398946,440787
2018,381892,5054169,567839,503112,447811,788976,888678,324859,792306,2649552,576696,1816935,423961,478719
2019,391123,5643627,582793,451926,449945,758928,982926,293288,785412,2798792,603401,1935620,423630,450443
2020,361380,5413257,534175,453580,422367,778244,966830,269975,785032,2925422,600728,1775694,372927,472066
