,LOCATION,Country,COMMODITY,Commodity,VARIABLE,Variable,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
57680,WLD,WORLD,FH,Fish,QC,Consumption,2010,2010,TONNE,Tonnes,3,Thousands,,,145838.22,,
57681,WLD,WORLD,FH,Fish,QC,Consumption,2011,2011,TONNE,Tonnes,3,Thousands,,,152448.9,,
57682,WLD,WORLD,FH,Fish,QC,Consumption,2012,2012,TONNE,Tonnes,3,Thousands,,,152111.47,,
57683,WLD,WORLD,FH,Fish,QC,Consumption,2013,2013,TONNE,Tonnes,3,Thousands,,,157060.8,,
57684,WLD,WORLD,FH,Fish,QC,Consumption,2014,2014,TONNE,Tonnes,3,Thousands,,,160193.34,,
57685,WLD,WORLD,FH,Fish,QC,Consumption,2015,2015,TONNE,Tonnes,3,Thousands,,,165438.63,,
57686,WLD,WORLD,FH,Fish,QC,Consumption,2016,2016,TONNE,Tonnes,3,Thousands,,,167088.78,,
57687,WLD,WORLD,FH,Fish,QC,Consumption,2017,2017,TONNE,Tonnes,3,Thousands,,,172392.57,,
57688,WLD,WORLD,FH,Fish,QC,Consumption,2018,2018,TONNE,Tonnes,3,Thousands,,,178416.68,,
57689,WLD,WORLD,FH,Fish,QC,Consumption,2019,2019,TONNE,Tonnes,3,Thousands,,,177934.84,,
57690,WLD,WORLD,FH,Fish,QC,Consumption,2020,2020,TONNE,Tonnes,3,Thousands,,,180496.72,,
57691,WLD,WORLD,FH,Fish,QC,Consumption,2021,2021,TONNE,Tonnes,3,Thousands,,,179717.42,,
57692,WLD,WORLD,FH,Fish,QC,Consumption,2022,2022,TONNE,Tonnes,3,Thousands,,,183479.64,,
57693,WLD,WORLD,FH,Fish,QC,Consumption,2023,2023,TONNE,Tonnes,3,Thousands,,,186463.06,,
57694,WLD,WORLD,FH,Fish,QC,Consumption,2024,2024,TONNE,Tonnes,3,Thousands,,,189007.62,,
57695,WLD,WORLD,FH,Fish,QC,Consumption,2025,2025,TONNE,Tonnes,3,Thousands,,,191307.96,,
57696,WLD,WORLD,FH,Fish,QC,Consumption,2026,2026,TONNE,Tonnes,3,Thousands,,,192110.82,,
57697,WLD,WORLD,FH,Fish,QC,Consumption,2027,2027,TONNE,Tonnes,3,Thousands,,,195893.06,,
57698,WLD,WORLD,FH,Fish,QC,Consumption,2028,2028,TONNE,Tonnes,3,Thousands,,,198256.61,,
57699,WLD,WORLD,FH,Fish,QC,Consumption,2029,2029,TONNE,Tonnes,3,Thousands,,,200545.1,,
